ID,Text,Entities,Relations
473,	共促亚太发展，中国拿出有力行动。中国经济同亚太经济相互依存、深度融合，中国已经成为许多亚太经济体的主要贸易伙伴和地区产业链供应链重要节点。近年来，中国与亚太国家共建“一带一路”取得丰硕成果，印尼雅万高铁试验运行圆满成功、中老铁路货运站全部启用、柬埔寨金港高速公路通车……中国助力区域互联互通水平不断提升，为亚太经济复苏发展注入新动力。中国倡议设立亚投行和丝路基金、打造新型投融资平台，并捐款1000万美元用于支持亚太经合组织机制和能力建设等一系列举措，彰显回馈亚太、造福亚太的坚定决心。中国还同各方高质量实施《区域全面经济伙伴关系协定》，推进加入《全面与进步跨太平洋伙伴关系协定》和《数字经济伙伴关系协定》，促进区域融合发展。中国以实际行动让世界见证：亚太经济合作从来不是零和博弈、你输我赢的政治游戏，而是相互成就、互利共赢的发展平台。,国家(3-5): 亚太; 国家(8-10): 中国; 国家(17-19): 中国; 国家(22-24): 亚太; 国家(36-38): 中国; 国家(44-46): 亚太; 国家(74-76): 中国; 国家(77-79): 亚太; 国家(96-98): 印尼; 国家(123-126): 柬埔寨; 国家(136-138): 中国; 国家(154-156): 亚太; 国家(168-170): 中国; 国家(207-209): 亚太; 机构(207-213): 亚太经合组织; 国家(231-233): 亚太; 国家(236-238): 亚太; 国家(244-246): 中国; 国家(314-316): 中国; 国家(327-329): 亚太,"国家间<中国,亚太>; 国家间<亚太,中国>; 国家间<中国,印尼>; 国家间<印尼,中国>; 国家间<中国,柬埔寨>; 国家间<柬埔寨,中国>; 国家间<亚太,印尼>; 国家间<印尼,亚太>; 国家间<亚太,柬埔寨>; 国家间<柬埔寨,亚太>; 国家-机构<亚太,亚太经合组织>; 国家-机构<印尼,亚太经合组织>; 国家-机构<柬埔寨,亚太经合组织>"
474,	中国发展离不开亚太，亚太繁荣也离不开中国。上个月，党的二十大成功举行，为当前和今后一个时期中国发展指明了方向、规划了蓝图。新时代新征程，中国将继续同世界特别是亚太分享中国发展的机遇，与亚太大家庭各成员携手续写“亚太奇迹”。,国家(1-3): 中国; 国家(8-10): 亚太; 国家(11-13): 亚太; 国家(19-21): 中国; 国家(46-48): 中国; 国家(106-108): 亚太; 国家(93-95): 亚太; 国家(84-86): 中国; 国家(69-71): 中国,"国家间<中国,亚太>; 国家间<亚太,中国>"
475,	（作者为本报评论员）,,
476,亚太的和平、稳定、繁荣属于全体亚太人民，亚太的未来要靠亚太人民携手创造。中国高举构建亚太命运共同体旗帜，坚定引领亚太合作方向,国家(0-2): 亚太; 国家(15-17): 亚太; 国家(20-22): 亚太; 国家(36-38): 中国; 机构(42-49): 亚太命运共同体; 国家(56-58): 亚太,"国家间<亚太,中国>; 国家间<中国,亚太>; 国家-机构<亚太,亚太命运共同体>; 国家-机构<中国,亚太命运共同体>"
477,今年是亚太经合组织首次领导人会议召开30周年。习近平主席应邀出席亚太经合组织第三十次领导人非正式会议，充分体现中方对亚太经济合作的高度重视。中方将继续为深化亚太合作、推动构建亚太命运共同体贡献智慧和力量。,国家(3-5): 亚太; 机构(3-9): 亚太经合组织; 人物(23-26): 习近平; 国家(32-34): 亚太; 国家(58-60): 亚太; 国家(78-80): 亚太; 机构(87-94): 亚太命运共同体,"国家-机构<亚太,亚太命运共同体>"
478,亚太地区占世界人口1/3，占世界经济总量逾六成、贸易总量近一半，是全球经济最具活力的增长带。亚太经合组织是亚太地区重要经济合作平台，在促进区域贸易和投资自由化便利化方面不断取得进展，在推动全球和地区经济增长方面发挥了积极作用。当前，亚太地区局势总体稳定，区域合作不断取得进展，和平发展、合作共赢是主流。同时，世界进入新的动荡变革期，地缘政治紧张与经济格局演变叠加，冲击亚太地区发展环境和合作架构。各方期待亚太继续走和平发展之路、开放包容之路、和衷共济之路，因应时代挑战，推进区域经济一体化，开拓发展新局面，引领世界经济增长。,国家(0-2): 亚太; 国家(46-48): 亚太; 机构(46-52): 亚太经合组织; 国家(53-55): 亚太; 国家(116-118): 亚太; 国家(202-204): 亚太,
479,中国高举构建亚太命运共同体旗帜，坚定引领亚太合作方向。2013年以来，习近平主席出席或主持历次亚太经合组织领导人非正式会议并发表重要讲话，以中国主张促进亚太合作，以中国贡献推动亚太发展，以中国智慧凝聚亚太共识，推动各方共同构建开放包容、创新增长、互联互通、合作共赢的亚太命运共同体。今年，习近平主席将在亚太经合组织第三十次领导人非正式会议上发表重要讲话，全面阐述中国对深化亚太合作、促进地区和世界经济增长的重要主张。中方将坚定不移携手各方，共促亚太繁荣发展，共创亚太美好未来。,国家(0-2): 中国; 机构(6-13): 亚太命运共同体; 国家(20-22): 亚太; 人物(35-38): 习近平; 机构(47-53): 亚太经合组织; 国家(70-72): 中国; 国家(76-78): 亚太; 国家(88-90): 亚太; 国家(82-84): 中国; 国家(94-96): 中国; 国家(100-102): 亚太; 机构(133-140): 亚太命运共同体; 人物(144-147): 习近平; 国家(181-183): 中国; 国家(231-233): 亚太; 国家(222-224): 亚太,"国家-人物<中国,习近平>; 国家-人物<中国,习近平>; 国家-机构<中国,亚太命运共同体>; 国家-机构<亚太,亚太命运共同体>; 国家-机构<亚太,亚太经合组织>; 机构间<亚太命运共同体,亚太经合组织>; 国家间<中国,亚太>; 国家间<亚太,中国>"
480,中国是亚太地区最重要的经济体之一，经济增长潜能巨大，为促进地区经济增长作出重要贡献。亚洲开发银行发布的《2023年亚洲经济一体化报告》显示，中国对亚太地区的经济增长贡献率达64.2%，并且贡献了亚太地区37.6%的货物贸易增长和44.6%的服务贸易增长。中方坚定推动深化互信、包容、合作、共赢的亚太伙伴关系，建设和平稳定、共同富裕、清洁美丽、守望相助的亚太，为亚太和全球发展繁荣带来新机遇、增添新动力。,国家(0-2): 中国; 国家(3-5): 亚太; 机构(42-48): 亚洲开发银行; 国家(70-72): 中国; 国家(73-75): 亚太; 国家(97-99): 亚太; 国家(147-149): 亚太; 国家(176-178): 亚太; 国家(180-182): 亚太,
481,中国的发展受益于亚太，也用自身发展回馈亚太、造福亚太。中国坚持实施更大范围、更宽领域、更深层次对外开放，坚持走中国式现代化道路，建设更高水平开放型经济新体制，将继续同世界特别是亚太分享中国发展的机遇。“中国式现代化的探索和成果为地区国家发展提供借鉴，期待习近平主席在此次会议上就促进经贸合作和互联互通、维护地区和平稳定提出更多重要主张”“期待中国为亚太各国在经济、文化、绿色发展等领域的合作带来新机遇”……国际社会普遍认为，一个繁荣富强的中国，不仅符合中国人民的根本利益，也将给亚太和世界带来更多福祉。,国家(0-2): 中国; 国家(8-10): 亚太; 国家(19-21): 亚太; 国家(24-26): 亚太; 国家(27-29): 中国; 国家(55-57): 中国; 国家(92-94): 中国; 国家(88-90): 亚太; 国家(101-103): 中国; 国家(219-221): 中国; 国家(226-228): 中国; 国家(239-241): 亚太; 国家(171-173): 中国; 国家(174-176): 亚太; 人物(127-130): 习近平,"国家-人物<中国,习近平>; 国家间<亚太,中国>; 国家间<中国,亚太>; 国家间<中国,亚太>; 国家间<亚太,中国>"
482,亚太的和平、稳定、繁荣属于全体亚太人民，亚太的未来要靠亚太人民携手创造。各方应坚守初心，以战略和长远眼光看待亚太合作，维护亚太经合组织在区域合作中的主渠道地位，维护亚太合作正确方向，携手构建亚太命运共同体。,国家(0-2): 亚太; 国家(15-17): 亚太; 国家(20-22): 亚太; 国家(27-29): 亚太; 国家(61-63): 亚太; 机构(61-67): 亚太经合组织; 国家(82-84): 亚太; 机构(95-102): 亚太命运共同体,"国家-机构<亚太,亚太命运共同体>; 国家-机构<亚太,亚太经合组织>"
483, 《 人民日报 》（ 2023年11月15日 03 版）,机构(2-7):  人民日报,
484,本报曼谷11月17日电  （记者杜尚泽、任彦）当地时间11月17日下午，国家主席习近平应邀在曼谷举行的亚太经合组织工商领导人峰会上发表题为《坚守初心  共促发展  开启亚太合作新篇章》书面演讲（全文见第二版），强调中国将坚定不移推动构建亚太命运共同体，为亚太稳定繁荣作出更多贡献。,人物(16-19): 杜尚泽; 人物(20-22): 任彦; 人物(40-43): 习近平; 机构(51-57): 亚太经合组织; 国家(107-109): 中国; 国家(127-129): 亚太; 机构(118-125): 亚太命运共同体,"国家-机构<亚太,亚太命运共同体>; 国家-机构<中国,亚太命运共同体>; 国家间<中国,亚太>; 国家间<亚太,中国>; 国家-人物<中国,习近平>; 国家-机构<中国,亚太经合组织>; 国家-机构<亚太,亚太经合组织>"
485,习近平指出，世界又一次站到十字路口。世界向何处去？亚太怎么办？我们必须给出答案。过去几十年，亚太成员经济发展取得了不凡成就，亚太经济合作为地区发展注入强大动力，有效提升了人民福祉。经验弥足珍贵，初心需要坚守。,人物(0-3): 习近平; 国家(46-48): 亚太; 国家(62-64): 亚太,
486,要走和平发展之路。摆脱了冷战阴霾，亚太地区特别是中小经济体步入奔向现代化的快车道，“亚太奇迹”才应运而生。亚太地区不是谁的后花园，不应该成为大国角斗场。任何搞“新冷战”的图谋，人民不会答应，时代不会允许！,国家(17-19): 亚太; 国家(42-44): 亚太; 国家(53-55): 亚太,
487,要走开放包容之路。几十年来，亚太经合组织秉持开放的区域主义，坚持多样性、非歧视原则，构筑了包容普惠的地区合作架构。正是凭借这种胸襟和格局，亚太地区才得以在区域经济一体化方面走在时代前列。阻滞甚至拆解亚太地区长期形成的产业链供应链，只会使亚太经济合作走入“死胡同”。,国家(14-16): 亚太; 国家(69-71): 亚太; 国家(99-101): 亚太; 国家(118-120): 亚太,
488,要走和衷共济之路。长期以来，亚太地区坚持同舟共济、共克时艰，在合作中形成共同体意识，成为实现不断发展的深厚根基。要加强合作，互相支持，互相帮助，推动亚太经济走在世界经济复苏前列。,国家(14-16): 亚太; 国家(74-76): 亚太,
489,习近平强调，新形势下，我们要汲取历史经验和教训，因应时代挑战，坚定推进亚太区域经济一体化，共同开拓发展新局面，构建亚太命运共同体。,人物(0-3): 习近平; 国家(35-37): 亚太; 国家(57-59): 亚太; 机构(57-64): 亚太命运共同体,
490,第一，筑牢和平发展的根基。遵循联合国宪章的宗旨和原则，树立共同、综合、合作、可持续的安全观，共同反对冷战思维和阵营对抗，搭建亚太安全架构。,机构(15-18): 联合国; 国家(62-64): 亚太,"国家-机构<亚太,联合国>"
491,第二，坚持以人民为中心的理念。注重在经济发展中保障民生，培育包容性发展环境。亚太发达经济体要积极支持发展中经济体，构筑团结、平等、均衡、普惠的新伙伴关系。,国家(38-40): 亚太,
492,第三，打造更高水平的开放格局。推进亚太自由贸易区进程，全面深入参与世贸组织改革，推动《区域全面经济伙伴关系协定》、《全面与进步跨太平洋伙伴关系协定》、《数字经济伙伴关系协定》相互衔接，构建开放型亚太经济。,机构(17-24): 亚太自由贸易区; 机构(33-37): 世贸组织; 国家(97-99): 亚太,"国家-机构<亚太,亚太自由贸易区>"
493,第四，实现更高层次的互联互通。以亚太经合组织互联互通蓝图为指引，有序推动硬件联接、软件对接、人员往来。中国将积极推进共建“一带一路”同各方发展战略对接，共同建设高质量亚太互联互通网络。,机构(16-22): 亚太经合组织; 国家(51-53): 中国; 国家(83-85): 亚太,"国家-机构<中国,亚太经合组织>"
494,第五，打造稳定畅通的产业链供应链。遵循经济规律，坚持市场原则，打造便利、高效、安全的亚太产业链供应链。共同反对单边主义、保护主义。,国家(42-44): 亚太,
495,第六，推进经济优化升级。加速科技创新和制度创新，培育新经济、新业态、新商业模式，实现亚太经济数字化转型。坚持绿色低碳发展，拓展绿色产业和绿色金融，加快构建亚太绿色合作格局。,国家(42-44): 亚太; 国家(77-79): 亚太,
496,习近平深入阐释了中国式现代化的基本特征和本质要求，指出中国14亿多人口实现现代化将是人类发展史上前所未有的大事。中国将坚持以人民为中心，使中等收入群体在未来15年超过8亿，推动超大规模市场不断发展。中国将继续推进全体人民共同富裕，加大对全球发展合作的资源投入，推进落实全球发展倡议，构建全球发展共同体。中国将不断提高人民物质生活和精神生活水平，弘扬全人类共同价值，为世界文明朝着平衡、积极、向善的方向发展提供助力。中国将促进经济社会发展全面绿色转型，共同构建人与自然生命共同体。中国在坚定维护世界和平与发展中谋求自身发展，又以自身发展更好维护世界和平与发展。,人物(0-3): 习近平; 国家(8-10): 中国; 国家(27-29): 中国; 国家(56-58): 中国; 国家(99-101): 中国; 国家(151-153): 中国; 国家(207-209): 中国; 国家(239-241): 中国,"国家-人物<中国,习近平>"
497,习近平强调，中国的发展受益于亚太，也用自身发展回馈亚太、造福亚太。中国将坚定不移推动构建亚太命运共同体，为亚太稳定繁荣作出更多贡献。希望工商界朋友积极促进经济合作，积极参与中国改革开放和现代化建设，为亚太和世界发展繁荣贡献正能量。,人物(0-3): 习近平; 国家(6-8): 中国; 国家(14-16): 亚太; 国家(25-27): 亚太; 国家(30-32): 亚太; 国家(33-35): 中国; 国家(44-46): 亚太; 机构(44-51): 亚太命运共同体; 国家(53-55): 亚太; 国家(100-102): 亚太; 国家(86-88): 中国,"国家间<亚太,中国>; 国家间<中国,亚太>; 国家-机构<亚太,亚太命运共同体>; 国家-机构<中国,亚太命运共同体>; 国家-人物<中国,习近平>; 国家-人物<中国,习近平>; 国家间<中国,亚太>; 国家间<亚太,中国>"
498,新华社旧金山11月17日电,机构(0-3): 新华社,
499,2023年亚太经合组织领导人旧金山宣言（摘要）,机构(5-11): 亚太经合组织,
500,——为所有人创建强韧和可持续未来,,
501,我们，亚太经合组织领导人于2023年11月16日至17日在美国加利福尼亚州旧金山举行会议。1993年美国主办首次亚太经合组织领导人非正式会议，30年来我们坚定致力于亚太经合组织宗旨，使本地区成为全球增长的先锋。,机构(3-9): 亚太经合组织; 国家(29-31): 美国; 国家(50-52): 美国; 机构(56-62): 亚太经合组织; 国家(82-84): 亚太; 机构(82-88): 亚太经合组织,"国家-机构<亚太,亚太经合组织>; 国家间<美国,亚太>; 国家间<亚太,美国>"
1001,2021年1月23日，施工人员检查泰国乌汶府诗琳通大坝综合浮体光伏项目的太阳能板安装情况。新华社发（泰国国家电力局项目组供图）,人物(11-15): 施工人员; 国家(17-19): 泰国; 机构(45-48): 新华社; 国家(50-52): 泰国; 机构(52-57): 国家电力局,"国家-人物<施工人员,泰国>; 国家-机构<泰国,国家电力局>"
1002,从高质量实施《区域全面经济伙伴关系协定》、开展中国-东盟自贸区3.0版谈判，到积极推进加入《全面与进步跨太平洋伙伴关系协定》《数字经济伙伴关系协定》，中国践行开放的区域主义，推动形成更高水平开放型经济新体制。,国家(75-77): 中国; 国家(23-25): 中国; 国家(26-28): 东盟,"国家间<中国,东盟>"
1003,新加坡总理李显龙说，一个强大、友好的中国，将为地区和世界带来积极影响，也有利于帮助中小国家实现共同发展。,国家(0-3): 新加坡; 人物(5-8): 李显龙; 国家(18-20): 中国; 国家(41-45): 中小国家,"国家-人物<新加坡,李显龙>; 国家间<中国,中小国家>"
1004,在印尼帕查查兰大学国际关系专家特库·礼萨夏看来，中国近年来在共建“一带一路”等多边框架内促进亚太地区发展，着眼长远推动实施与伙伴国间的互利互惠项目，这是中国追求共同繁荣的生动证明。,人物(15-21): 特库·礼萨夏; 国家(24-26): 中国; 国家(62-65): 伙伴国; 国家(76-78): 中国; 国家(46-50): 亚太地区; 机构(1-9): 印尼帕查查兰大学,"国家间<中国,亚太地区>; 国家间<中国,伙伴国>; 机构-人物<特库·礼萨夏,印尼帕查查兰大学>"
1006,这是在北京市北土城路附近拍摄的“一带一路”国际合作高峰论坛景观布置（2023年10月16日摄）。第三届“一带一路”国际合作高峰论坛于10月17日至18日在北京举行。新华社记者 陈斌 摄,机构(82-85): 新华社; 人物(85-90): 记者 陈斌,"机构-人物<新华社,记者 陈斌>"
1007,中国与世界从未像今天这样深度交融。第三届“一带一路”国际合作高峰论坛开启高质量共建“一带一路”新阶段；全球发展倡议下，中国携手100多个国家和国际组织重振发展伙伴关系，助力落实2030年可持续发展议程；第134届广交会成功举办，成交呈现恢复性增长；第六届进博会，展商数量和展览面积均创历史新高，开放的中国敞开怀抱笑迎全球嘉宾。,国家(0-2): 中国; 机构(17-34): 第三届“一带一路”国际合作高峰论坛; 国家(59-61): 中国; 国家(63-70): 100多个国家; 机构(71-75): 国际组织,"国家-机构<中国,第三届“一带一路”国际合作高峰论坛>; 国家间<中国,100多个国家>; 国家-机构<中国,国际组织>"
1008,这是2023年10月15日拍摄的第134届广交会现场。新华社记者 邓华 摄,机构(27-30): 新华社; 人物(30-36): 记者 邓华 ,"机构-人物<新华社,记者 邓华 >"
1009,以和平发展、互利合作、共同繁荣为目标，中国正持续以高质量发展推进中国式现代化，以高水平对外开放推动世界共同发展。,国家(19-21): 中国,
1010,“我们追求的不是中国独善其身的现代化，而是期待同广大发展中国家在内的各国一道，共同实现现代化。”在第三届“一带一路”国际合作高峰论坛上，习近平主席的话道出共同推动和平发展、互利合作、共同繁荣的世界现代化的宏伟愿景。,人物(68-73): 习近平主席; 国家(8-10): 中国,"国家-人物<中国,习近平主席>"
1011,世界在期待，通过习近平主席这次出访，聆听中国持续扩大高水平开放的新故事，理解中国高质量发展的内在意涵，在中国式现代化与世界现代化的双向促进中寻求进步机遇，获取发展动能。,人物(8-13): 习近平主席; 国家(20-22): 中国,"国家-人物<中国,习近平主席>"
1012,泰国正大管理学院中国-东盟研究中心主任汤之敏说，希望中国继续分享现代化的资源要素、市场平台、实践经验和思想理念，以便各国汲取中国式现代化经验，在共同发展中实现共同繁荣。,机构(0-17): 泰国正大管理学院中国-东盟研究中心; 人物(17-22): 主任汤之敏; 国家(26-28): 中国,"机构-人物<泰国正大管理学院中国-东盟研究中心,主任汤之敏>"
1013,当前，乌克兰危机升级、巴以新一轮冲突深刻影响全球安全局势；联合国2030年可持续发展议程落实进展滞后；粮食、能源危机持续，一些国家搞“脱钩断链”“小院高墙”，扰乱全球产业链供应链稳定，世界经济复苏动力不足。具体到亚太地区，个别国家推行“印太战略”，迫使地区国家选边站队，严重影响地区和平稳定、团结合作、共同繁荣。,国家(61-65): 一些国家; 国家(106-110): 亚太地区; 国家(111-115): 个别国家; 国家(29-32): 联合国,"国家间<亚太地区,个别国家>; 国家间<联合国,一些国家>"
1016,当前，在百年未有之大变局加速演进的当下，“全球南方”力量不断上升，影响显著增强。作为世界第二大经济体、“全球南方”的当然成员，中国始终谋求共同发展，倡导团结合作，主张联合自强，反对外部干涉。,国家(63-65): 中国; 机构(51-57): “全球南方”,"国家-机构<“全球南方”,中国>"
1017,世界在期待，在亚太经合组织第三十次领导人非正式会议上，中国继续展现大国担当，在聚集众多“全球南方”国家的亚太地区，放大新兴市场国家和发展中国家声音，推动全球治理体系的进一步完善。,国家(27-29): 中国; 国家(52-56): 亚太地区,"国家间<中国,亚太地区>"
1018,巴西中国问题研究中心主任罗尼·林斯表示，期待中国领导人在此次会议上继续提出重要主张，推动建设和平稳定、包容开放的亚太地区，进而为全球可持续发展作出“亚太贡献”。,国家(0-2): 巴西; 机构(2-10): 中国问题研究中心; 人物(10-17): 主任罗尼·林斯; 人物(22-27): 中国领导人; 国家(56-60): 亚太地区,"国家-机构<巴西,中国问题研究中心>; 机构-人物<中国问题研究中心,主任罗尼·林斯>; 国家-人物<中国领导人,亚太地区>"
1019,俄罗斯科学院中国与现代亚洲研究所中国社会经济研究中心领衔研究员罗扎利娅·瓦尔法洛夫斯卡娅认为，中国同亚太经合组织、上合组织、金砖国家等多边平台开展的国际合作具有重要现实意义，期待中国主张、中国倡议进一步推动各国经济恢复增长，助推地区和世界现代化。,机构(0-26): 俄罗斯科学院中国与现代亚洲研究所中国社会经济研究中心; 人物(26-44): 领衔研究员罗扎利娅·瓦尔法洛夫斯卡娅; 国家(47-49): 中国; 机构(50-56): 亚太经合组织; 机构(57-61): 上合组织; 国家(62-66): 金砖国家,"机构-人物<俄罗斯科学院中国与现代亚洲研究所中国社会经济研究中心,领衔研究员罗扎利娅·瓦尔法洛夫斯卡娅>; 国家间<金砖国家,中国>; 国家-机构<中国,亚太经合组织>; 国家-机构<中国,上合组织>"
1020,万山磅礴看主峰，乱云飞渡仍从容。习近平主席的这次访问，必将继续推动中国与亚太携手开放发展，打造世界的和平稳定锚、增长动力源、合作新高地，同各方一道为世界和平与发展注入更多确定性，向人类更加美好的未来不断前进。,人物(16-21): 习近平主席; 国家(33-35): 中国; 国家(36-38): 亚太,"国家间<中国,亚太>"
1024,统筹：王洁、郜新鑫,,
1026,在亚太经合组织(APEC)第三十次领导人非正式会议上，国家主席习近平援引这句中国古语，表达了“建设开放、活力、强韧、和平的亚太共同体”的决心。,机构(1-7): 亚太经合组织; 人物(27-34): 国家主席习近平,
1027,当地时间11月17日上午，亚太经合组织第三十次领导人非正式会议在美国旧金山莫斯科尼中心举行。国家主席习近平出席会议并发表题为《坚守初心 团结合作 携手共促亚太高质量增长》的重要讲话。新华社记者 李学仁 摄,人物(46-53): 国家主席习近平; 机构(91-94): 新华社; 人物(94-101): 记者 李学仁 ,"机构-人物<新华社,记者 李学仁 >"
1028,APEC走过30年，助力亚太成为世界经济增长中心、全球发展稳定之锚和合作高地，创造了举世瞩目的“亚太奇迹”。,机构(0-4): APEC; 国家(12-14): 亚太,"国家-机构<APEC,亚太>"
1030,在此背景下，作为全球增长引擎的亚太，肩负更大的时代责任。,国家(15-17): 亚太,
1031,在题为《坚守初心 团结合作 携手共促亚太高质量增长》的讲话中，习近平开门见山，直面问题，提出了亚太发展新的时代之问：,人物(31-34): 习近平; 国家(47-49): 亚太,
1032,要把一个什么样的亚太带到本世纪中叶？如何打造亚太发展的下一个“黄金三十年”？在这一进程中如何更好发挥亚太经合组织作用？,国家(8-10): 亚太; 国家(22-24): 亚太; 机构(50-56): 亚太经合组织,"国家-机构<亚太,亚太经合组织>"
1033,面对新的时代之问，习近平强调，我们应该秉持亚太合作初心，负责任地回应时代呼唤，携手应对全球性挑战，全面落实布特拉加亚愿景，建设开放、活力、强韧、和平的亚太共同体，实现亚太人民和子孙后代的共同繁荣。,人物(9-12): 习近平; 国家(21-23): 亚太; 机构(75-80): 亚太共同体,"国家-机构<亚太,亚太共同体>"
1035,习近平给出了中国方案：第一，坚持创新驱动。第二，坚持开放导向。第三，坚持绿色发展。第四，坚持普惠共享。,人物(0-3): 习近平; 国家(6-8): 中国,"国家-人物<习近平,中国>"
1036,在阐述这些主张时，习近平金句频出，以中国智慧凝聚亚太共识，为亚太发展的下一个“黄金三十年”指引方向。,人物(9-12): 习近平,
1038,开放包容是亚太合作的主旋律。习近平在亚太经合组织工商领导人峰会上的书面演讲中指出，亚太发展靠的是开放包容、取长补短、互通有无，而不是对立对抗、以邻为壑、“小院高墙”。,人物(14-17): 习近平; 机构(18-31): 亚太经合组织工商领导人峰会,"机构-人物<习近平,亚太经合组织工商领导人峰会>"
1039,数据显示，过去30年，亚太地区平均关税水平从17%下降至5%，对世界经济增长的贡献达到七成。,国家(11-15): 亚太地区,
1040,南开大学亚太经济合作组织研究中心主任刘晨阳表示，中国并没有因为发展环境和外部形势的变化变得保守，而是通过高水平对外开放、贡献更多公共产品来破解发展难题。,机构(0-16): 南开大学亚太经济合作组织研究中心; 人物(16-21): 主任刘晨阳; 国家(24-26): 中国,"机构-人物<南开大学亚太经济合作组织研究中心,主任刘晨阳>"
1042,商务部国际贸易经济合作研究院绿色经贸中心主任许英明认为，随着《区域全面经济伙伴关系协定》的深入实施、中国—东盟自由贸易协定3.0谈判的深入，以及我国自贸试验区和自由贸易港试点对接高标准经贸规则，特别是高标准低碳规则的推进，绿色贸易和绿色投资有望成为亚太地区经贸合作的重要推动力量。,机构(0-20): 商务部国际贸易经济合作研究院绿色经贸中心; 人物(20-25): 主任许英明; 国家(50-52): 中国; 国家(53-55): 东盟; 国家(124-128): 亚太地区; 国家(72-74): 我国,"机构-人物<商务部国际贸易经济合作研究院绿色经贸中心,主任许英明>; 国家间<中国,东盟>; 国家间<我国,亚太地区>"
1043,再如，在谈到坚持普惠共享时，习近平指出，“我多次讲，大家一起发展才是真发展。”,人物(14-17): 习近平,
1044,数据显示，过去30年，亚太地区人均收入翻了两番还要多，十亿人口成功脱贫，为人类进步和全球可持续发展作出重要贡献。,国家(11-15): 亚太地区,
1045,“中国将继续支持亚太经合组织开展经济技术合作，共同做大亚太发展蛋糕。”习近平说。,国家(1-3): 中国; 机构(8-14): 亚太经合组织; 人物(35-38): 习近平,"国家-机构<中国,亚太经合组织>; 国家-人物<中国,习近平>"
1047,当地时间11月17日上午，亚太经合组织第三十次领导人非正式会议在美国旧金山莫斯科尼中心举行。国家主席习近平出席会议并发表题为《坚守初心 团结合作 携手共促亚太高质量增长》的重要讲话。新华社记者 李学仁 摄,人物(46-53): 国家主席习近平; 机构(91-94): 新华社; 人物(94-101): 记者 李学仁 ,"机构-人物<新华社,记者 李学仁 >"
1048,在讲话中，习近平再次表达了中国态度：中国坚持走和平发展道路，发展的根本目的是让中国人民过上好日子，不是要取代谁。,人物(5-8): 习近平; 国家(13-15): 中国; 国家(18-20): 中国; 人物(39-43): 中国人民,"国家-人物<中国,习近平>; 国家-人物<中国,中国人民>"
1050,在同美国总统拜登举行中美元首会晤时，习近平说，中国没有超越或者取代美国的规划，美国也不要有打压遏制中国的打算。,人物(2-8): 美国总统拜登; 人物(18-21): 习近平; 国家(23-25): 中国; 国家(33-35): 美国; 国家(39-41): 美国; 国家(49-51): 中国,"国家-人物<习近平,中国>; 国家-人物<美国总统拜登,美国>; 国家间<美国,中国>"
1051,在美国友好团体联合欢迎宴会上的演讲中，习近平指出，中国从不赌美国输，从不干涉美国内政，也无意挑战和取代美国，乐见一个自信开放、发展繁荣的美国。同样，美国也不要赌中国输，不要干涉中国内政，应该欢迎一个和平、稳定、繁荣的中国。,机构(1-7): 美国友好团体; 人物(19-22): 习近平; 国家(25-27): 中国; 国家(30-32): 美国; 国家(38-40): 美国; 国家(51-53): 美国; 国家(68-70): 美国; 国家(74-76): 美国; 国家(80-82): 中国; 国家(88-90): 中国; 国家(108-110): 中国,"国家间<中国,美国>; 国家-人物<中国,习近平>; 国家-机构<美国友好团体,美国>; 国家间<中国,美国>"
1053,今年是中国改革开放45周年，正如习近平所言，我们将坚持高质量发展，推进高水平对外开放，以中国式现代化为推动实现世界各国的现代化提供新机遇。,国家(3-5): 中国; 人物(16-19): 习近平,"国家-人物<中国,习近平>"
1054,如今，中国被视为“拉动亚太及全球增长的关键因素”。新加坡时政评论员翁德生认为，“中国用实实在在的发展成果为面临重重困难的世界经济注入动力，并向世界证明‘脱钩’、遏制打压均不可行，合作共赢才是明智选择。”,国家(3-5): 中国; 国家(25-28): 新加坡; 人物(28-36): 时政评论员翁德生; 国家(40-42): 中国,"国家-人物<新加坡,时政评论员翁德生>"
1067,3月29日，重庆轻纺集团消息，该集团所属萨固密亚太技术研发中心在渝正式成立，该研发中心将整合萨固密全球技术资源，致力于推动中国汽车密封系统产业迈上高端，为萨固密全球战略发展提供有力支撑。,机构(6-12): 重庆轻纺集团; 机构(20-31): 萨固密亚太技术研发中心,"机构间<重庆轻纺集团,萨固密亚太技术研发中心>"
1068,研发中心启动仪式。重庆轻纺集团供图,机构(0-4): 研发中心; 机构(9-15): 重庆轻纺集团,"机构间<研发中心,重庆轻纺集团>"
1069,会上，研发中心相关负责人介绍，该中心主要聚焦产品设计开发能力、工程开发能力、材料研发能力、验证能力、行业标准制定等方面进行布局。据透露，目前，该中心正在突破Flushdoor3.0的创新研发，真正意义上的零阶差设计，外形可以实现全镜面设计，预计原型样车门将在今年年底完成相关验证。,人物(3-12): 研发中心相关负责人; 机构(15-18): 该中心; 机构(71-74): 该中心,"机构-人物<研发中心相关负责人,该中心>"
