Entity,Relation,Sentiment
柬埔寨,"机构-人物<新华社,吴长伟>",neutral
亚太,"国家间<柬埔寨,中国>",positive
中国,"国家间<中国,柬埔寨>",positive
一带一路,"国家间<新加坡,中国>",positive
柬埔寨,"国家间<中国,新加坡>",positive
中国,"国家间<新加坡,亚太>",positive
新加坡,"国家间<亚太,新加坡>",positive
中国,"国家间<柬埔寨,亚太>",positive
亚太,"国家间<亚太,柬埔寨>",positive
泰国,"机构-人物<新华社,王腾>",neutral
亚太,"国家间<菲律宾,中国>",positive
中国,"国家间<中国,菲律宾>",positive
泰国,"国家间<印尼,中国>",positive
中国,"国家间<中国,印尼>",positive
泰国,"国家间<印尼,菲律宾>",positive
泰国,"国家间<菲律宾,印尼>",positive
印尼,"国家间<亚太,泰国>",positive
菲律宾,"国家间<泰国,亚太>",positive
中国,"国家间<泰国,中国>",positive
泰国,"机构-人物<新华社,塔纳>",neutral
中国,"国家-机构<中国,新华社>",neutral
新华社,"国家间<泰国,中国>",neutral
塔纳,"国家间<中国,泰国>",neutral
菲律宾,"机构-人物<新华社,乌马利>",positive
菲律宾,"国家-机构<	菲律宾,	菲律宾金砖国家政策研究会>",positive
菲律宾金砖国家政策研究会,"国家-机构<韩国,韩国成均馆大学>",positive
赫尔曼·劳雷尔,"机构-人物<	菲律宾金砖国家政策研究会,赫尔曼·劳雷尔>",positive
习近平,"国家-人物<中国,习近平>",positive
中国,"机构-人物<韩国成均馆大学,安玉花>",positive
韩国,"国家间<中国,韩国>",positive
韩国成均馆大学,"国家间<韩国,中国>",positive
中国,,positive
中国,"国家-机构<中国,中共>",positive
印尼,"国家间<泰国,印尼>",positive
泰国,"国家间<印尼,泰国>",positive
习近平,"国家间<泰国,中国>",positive
中国,"国家间<中国,泰国>",positive
中国,"国家间<印尼,中国>",positive
中国,"国家间<中国,印尼>",positive
习近平,"国家-人物<中国,习近平>",positive
中国,"国家-机构<阿根廷,阿根廷工程和技术支持公司>",positive
习近平,"机构-人物<阿根廷工程和技术支持公司,费尔南多·法佐拉里>",positive
阿根廷,"国家-人物<中国,习近平>",positive
费尔南多·法佐拉里,"国家-人物<中国,习近平>",positive
阿根廷工程和技术支持公司,"国家间<阿根廷,中国>",positive
中国,"国家间<中国,阿根廷>",positive
中国,"国家间<哥伦比亚,中国>",positive
全球发展共同体,"国家间<中国,哥伦比亚>",positive
中国,"国家-机构<中国,全球发展共同体>",positive
哥伦比亚,"国家-机构<哥伦比亚,全球发展共同体>",positive
莉娜·露娜,"国家-人物<哥伦比亚,莉娜·露娜>",positive
中国,"国家间<沙特,中国>",positive
中国,"国家间<中国,沙特>",positive
沙特,"国家-机构<沙特,沙特国王大学>",positive
沙特国王大学,"机构-人物<沙特国王大学,易卜拉欣·沃哈伊布>",positive
印度,"机构-人物<新华社,曹祎铭>",neutral
中国,"机构-人物<智利圣地亚哥大学,坦萨·霍尔克拉>",positive
中国,"国家间<中国,智利>",positive
智利,"国家间<智利,中国>",positive
中国,"国家-机构<美国,美国巴德学院>",positive
美国,"机构-人物<美国巴德学院,彭润>",positive
美国巴德学院,"国家间<美国,中国>",positive
彭润,"国家间<中国,美国>",positive
中国,,positive
中国,,positive
中国,"国家-人物<中国,李学梅>",positive
亚太,"国家-人物<中国,叶书宏>",positive
中国,"国家-人物<中国,余湉湉>",positive
中国,"国家-人物<中国,李蓉>",positive
李学梅,"国家间<中国,亚太>",positive
叶书宏,"国家间<亚太,中国>",positive
赵丹阳,,neutral
亚太命运共同体,"国家-机构<中国,亚太经合组织>",positive
亚太,"国家间<中国,亚太>",positive
中国,"国家间<亚太,中国>",positive
习近平,"国家-人物<中国,习近平>",positive
亚太,,positive
亚太,,positive
亚太,,positive
亚太,,positive
亚太,,positive
亚太,,positive
亚太,,neutral
亚太,,neutral
亚太经合组织,,neutral
习近平,,neutral
亚太,,neutral
亚太,,neutral
亚太,"国家-机构<中国,亚太经合组织>",positive
中国,"国家-机构<亚太,亚太经合组织>",positive
亚太,"国家-机构<亚太,亚太自由贸易区>",positive
习近平,"国家-机构<中国,亚太自由贸易区>",positive
中国,"国家间<亚太,中国>",positive
亚太,"国家间<中国,亚太>",positive
中国,"国家-人物<中国,习近平>",positive
亚太,"国家间<中国,亚太>",positive
中国,"国家间<亚太,中国>",positive
中国,"国家间<中国,印尼>",positive
亚太,"国家间<印尼,中国>",positive
中国,"国家间<中国,柬埔寨>",positive
亚太,"国家间<柬埔寨,中国>",positive
中国,"国家间<亚太,印尼>",positive
亚太,"国家间<印尼,亚太>",positive
印尼,"国家间<亚太,柬埔寨>",positive
柬埔寨,"国家间<柬埔寨,亚太>",positive
中国,"国家-机构<亚太,亚太经合组织>",positive
亚太,"国家-机构<印尼,亚太经合组织>",positive
中国,"国家-机构<柬埔寨,亚太经合组织>",positive
中国,"国家间<中国,亚太>",positive
亚太,"国家间<亚太,中国>",positive
亚太,"国家间<亚太,中国>",positive
亚太,"国家间<中国,亚太>",positive
亚太,"国家-机构<亚太,亚太命运共同体>",positive
中国,"国家-机构<中国,亚太命运共同体>",positive
亚太,"国家-机构<亚太,亚太命运共同体>",positive
亚太,,positive
亚太,,positive
亚太经合组织,,positive
亚太,,positive
亚太,,positive
亚太,,positive
中国,"国家-人物<中国,习近平>",positive
亚太命运共同体,"国家-人物<中国,习近平>",positive
亚太,"国家-机构<中国,亚太命运共同体>",positive
习近平,"国家-机构<亚太,亚太命运共同体>",positive
亚太经合组织,"国家-机构<亚太,亚太经合组织>",positive
中国,"机构间<亚太命运共同体,亚太经合组织>",positive
亚太,"国家间<中国,亚太>",positive
亚太,"国家间<亚太,中国>",positive
中国,,positive
亚太,,positive
亚洲开发银行,,positive
中国,,positive
亚太,,positive
亚太,,positive
亚太,,positive
亚太,,positive
亚太,,positive
中国,"国家-人物<中国,习近平>",positive
亚太,"国家间<亚太,中国>",positive
亚太,"国家间<中国,亚太>",positive
亚太,"国家间<中国,亚太>",positive
中国,"国家间<亚太,中国>",positive
亚太,"国家-机构<亚太,亚太命运共同体>",positive
亚太,"国家-机构<亚太,亚太经合组织>",positive
人民日报,,neutral
杜尚泽,"国家-机构<亚太,亚太命运共同体>",positive
任彦,"国家-机构<中国,亚太命运共同体>",positive
习近平,"国家间<中国,亚太>",positive
亚太经合组织,"国家间<亚太,中国>",positive
中国,"国家-人物<中国,习近平>",positive
亚太,"国家-机构<中国,亚太经合组织>",positive
亚太命运共同体,"国家-机构<亚太,亚太经合组织>",positive
习近平,,positive
亚太,,positive
亚太,,positive
亚太,,negative
亚太,,negative
亚太,,negative
亚太,,positive
亚太,,positive
亚太,,positive
亚太,,positive
亚太,,positive
亚太,,positive
习近平,,positive
亚太,,positive
亚太,,positive
亚太命运共同体,,positive
联合国,"国家-机构<亚太,联合国>",neutral
亚太,,positive
亚太自由贸易区,"国家-机构<亚太,亚太自由贸易区>",positive
亚太经合组织,"国家-机构<中国,亚太经合组织>",positive
亚太,,neutral
亚太,,positive
亚太,,positive
习近平,"国家-人物<中国,习近平>",positive
习近平,"国家间<亚太,中国>",positive
中国,"国家间<中国,亚太>",positive
亚太,"国家-机构<亚太,亚太命运共同体>",positive
亚太,"国家-机构<中国,亚太命运共同体>",positive
亚太,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,习近平>",positive
亚太,"国家间<中国,亚太>",positive
亚太命运共同体,"国家间<亚太,中国>",positive
新华社,,neutral
亚太经合组织,,neutral
亚太经合组织,"国家-机构<亚太,亚太经合组织>",positive
美国,"国家间<美国,亚太>",positive
美国,"国家间<亚太,美国>",positive
施工人员,"国家-人物<施工人员,泰国>",neutral
泰国,"国家-机构<泰国,国家电力局>",neutral
中国,"国家间<中国,东盟>",positive
新加坡,"国家-人物<新加坡,李显龙>",positive
李显龙,"国家间<中国,中小国家>",positive
特库·礼萨夏,"国家间<中国,亚太地区>",positive
中国,"国家间<中国,伙伴国>",positive
伙伴国,"机构-人物<特库·礼萨夏,印尼帕查查兰大学>",positive
新华社,"机构-人物<新华社,记者 陈斌>",neutral
中国,"国家-机构<中国,第三届“一带一路”国际合作高峰论坛>",positive
第三届“一带一路”国际合作高峰论坛,"国家间<中国,100多个国家>",positive
中国,"国家-机构<中国,国际组织>",positive
新华社,"机构-人物<新华社,记者 邓华 >",neutral
中国,,positive
习近平主席,"国家-人物<中国,习近平主席>",positive
习近平主席,"国家-人物<中国,习近平主席>",positive
泰国正大管理学院中国-东盟研究中心,"机构-人物<泰国正大管理学院中国-东盟研究中心,主任汤之敏>",positive
一些国家,"国家间<亚太地区,个别国家>",neutral
亚太地区,"国家间<联合国,一些国家>",neutral
中国,"国家-机构<“全球南方”,中国>",positive
中国,"国家间<中国,亚太地区>",positive
巴西,"国家-机构<巴西,中国问题研究中心>",positive
中国问题研究中心,"机构-人物<中国问题研究中心,主任罗尼·林斯>",positive
主任罗尼·林斯,"国家-人物<中国领导人,亚太地区>",positive
俄罗斯科学院中国与现代亚洲研究所中国社会经济研究中心,"机构-人物<俄罗斯科学院中国与现代亚洲研究所中国社会经济研究中心,领衔研究员罗扎利娅·瓦尔法洛夫斯卡娅>",positive
领衔研究员罗扎利娅·瓦尔法洛夫斯卡娅,"国家间<金砖国家,中国>",positive
中国,"国家-机构<中国,亚太经合组织>",positive
亚太经合组织,"国家-机构<中国,上合组织>",positive
习近平主席,"国家间<中国,亚太>",positive
亚太经合组织,,positive
国家主席习近平,,positive
国家主席习近平,"机构-人物<新华社,记者 李学仁 >",positive
APEC,"国家-机构<APEC,亚太>",positive
亚太,,neutral
习近平,,positive
亚太,,positive
亚太,"国家-机构<亚太,亚太经合组织>",neutral
习近平,"国家-机构<亚太,亚太共同体>",positive
习近平,"国家-人物<习近平,中国>",positive
习近平,,positive
习近平,"机构-人物<习近平,亚太经合组织工商领导人峰会>",positive
亚太地区,,positive
南开大学亚太经济合作组织研究中心,"机构-人物<南开大学亚太经济合作组织研究中心,主任刘晨阳>",positive
商务部国际贸易经济合作研究院绿色经贸中心,"机构-人物<商务部国际贸易经济合作研究院绿色经贸中心,主任许英明>",positive
主任许英明,"国家间<中国,东盟>",positive
中国,"国家间<我国,亚太地区>",positive
习近平,,positive
亚太地区,,positive
中国,"国家-机构<中国,亚太经合组织>",positive
亚太经合组织,"国家-人物<中国,习近平>",positive
国家主席习近平,"机构-人物<新华社,记者 李学仁 >",positive
习近平,"国家-人物<中国,习近平>",positive
中国,"国家-人物<中国,中国人民>",positive
美国总统拜登,"国家-人物<习近平,中国>",negative
习近平,"国家-人物<美国总统拜登,美国>",negative
中国,"国家间<美国,中国>",negative
美国友好团体,"国家间<中国,美国>",positive
习近平,"国家-人物<中国,习近平>",positive
中国,"国家-机构<美国友好团体,美国>",positive
美国,"国家间<中国,美国>",positive
中国,"国家-人物<中国,习近平>",positive
中国,"国家-人物<新加坡,时政评论员翁德生>",positive
重庆轻纺集团,"机构间<重庆轻纺集团,萨固密亚太技术研发中心>",positive
研发中心,"机构间<研发中心,重庆轻纺集团>",neutral
研发中心相关负责人,"机构-人物<研发中心相关负责人,该中心>",neutral
萨固密亚太技术研发中心,"机构-人物<萨固密亚太技术研发中心,萨固密中国投总经理陈勇>",positive
萨固密中国投总经理陈勇,"机构间<研发中心,萨固密>",positive
萨固密集团,"国家-机构<萨固密集团,中国>",positive
中国,"国家-机构<萨固密集团,亚太地区>",positive
重庆轻纺集团董事长谢英明,"机构-人物<重庆轻纺集团董事长谢英明,重庆轻纺集团>",neutral
研发中心,"机构间<研发中心,重庆轻纺集团>",positive
重庆轻纺集团,"机构-人物<重庆轻纺集团,重庆轻纺集团董事长谢英明>",positive
重庆轻纺集团董事长谢英明,"机构间<萨固密亚太技术研发中心,国际化技术中心。>",positive
萨固密亚太技术研发中心,"机构间<萨固密亚太技术研发中心,萨固密集团欧洲总部>",positive
德国萨固密集团,"机构间<德国萨固密集团,重庆轻纺集团>",positive
日本统合幕僚长吉田圭秀,"国家间<美国,日>",positive
韩国联合参谋本部议长金承谦,"国家间<美国,韩>",positive
美国参谋长联席会议主席马克·米利,"国家-人物<米利,美国>",positive
日本,"国家间<日本,美>",positive
美,"国家间<日本,美>",positive
日本,"国家间<日本,日本>",positive
美,"国家间<韩国,日本>",positive
日本,"国家间<美国,日本>",positive
韩国,"国家间<美,日本>",positive
美国,"国家间<日,日本>",positive
日本,"国家间<韩3,日本>",positive
日媒,"国家-机构<日媒,日本>",neutral
日本,"国家间<日本,美国>",neutral
美国,"国家间<日本,日本>",neutral
日本,"国家间<美国,日本>",neutral
美,"国家间<美,亚太国家>",neutral
亚太国家,"国家间<日,亚太国家>",neutral
日,"国家-机构<美,军事同盟>",neutral
军事同盟,"国家-机构<日,军事同盟>",neutral
日本,"国家间<日美同盟,印太地区>",positive
米利,"国家间<日本,美国>",positive
印太地区,"国家间<美国,亚太地区>",positive
日美同盟,"国家间<日美同盟,美国>",positive
日本,"国家-人物<米利,美国>",positive
美国,"机构-人物<美国空军参谋长布朗,参议院军事委员会>",positive
亚太森林组织,"机构间<亚太森林组织,斐济渔业>",positive
云南省林业和草原科学院,"机构间<亚太森林组织,林业部>",positive
西南林业大学,"机构间<云南省林业和草原科学院,柬埔寨野生动植物研究所>",positive
中国林产工业协会,"机构间<西南林业大学,泰国农业大学>",positive
普洱林产业集团有限公司,"机构间<中国林产工业协会,老挝林产工业协会>",positive
斐济渔业,"机构间<普洱林产业集团有限公司,大自然林业集团有限公司>",positive
印度尼西亚,"国家间<中国,印尼>",positive
中国,"国家-机构<印度尼西亚,雅万高铁>",positive
泰国,"国家-人物<泰国,乌汶府诗琳>",positive
乌汶府诗琳,"国家间<中,泰>",positive
智利,"国家-机构<智利,蓬塔谢拉风电场>",positive
蓬塔谢拉风电场,"国家间<中国,智利>",positive
越南,"国家-机构<越南,榴莲加工厂>",positive
榴莲加工厂,"国家间<越南,中国>",positive
中国,"国家间<中国,东盟>",positive
中国,"国家间<东盟国家,中国>",positive
秘鲁羊驼毛制品手艺人马马尼大叔,"国家-人物<中国,秘鲁羊驼毛制品手艺人马马尼大叔>",positive
中国,"国家-人物<中国,花农李兰英>",positive
花农李兰英,"国家-人物<日本,小西武>",positive
日本,"国家间<中国,日本>",positive
新西兰,"国家间<新西兰,中国>",positive
巴布亚新几内亚,"国家-人物<巴布亚新几内亚,婴儿泰乐>",positive
医疗队副队长、新生儿科副主任医师刘振球,"国家间<中国,巴新>",positive
婴儿泰乐,"国家间<巴布亚新几内亚,中国>",positive
亚太桥牌联合会,"国家-机构<亚太桥牌联合会,亚太地区>",neutral
中国桥牌协会,"机构-人物<中国桥牌协会,副主席徐建国>",positive
王文霏,"机构-人物<王文霏,国家桥牌队>",neutral
副主席任乐波,"机构-人物<宁波市体育局党,副主席任乐波>",neutral
宁波市体育总会,"机构-人物<宁波市体育总会,副主席任乐波>",neutral
中国,"国家间<中国,中东欧>",neutral
亚太森博公司,"机构-人物<亚太森博公司,公司技术中心负责人范丰涛>",neutral
公司技术中心负责人范丰涛,"机构-人物<亚太森博公司,公司技术销售部工程师庄丽丽>",neutral
山东省造纸行业协会,"机构间<山东省造纸行业协会,山东造纸学会>",neutral
山东造纸学会,"机构间<山东造纸学会,山东省造纸产业链联盟>",neutral
山东省造纸产业链联盟,"机构间<山东省造纸行业协会,山东省造纸产业链联盟>",neutral
山东省造纸行业协会,"机构-人物<山东省造纸行业协会,副会长赵振东>",neutral
副会长赵振东,"机构-人物<山东省工信厅轻工纺织产业处,副处长纪建富>",neutral
山东省工信厅轻工纺织产业处,"机构-人物<中国造纸学会,理事长曹振雷博士>",neutral
副处长纪建富,"机构-人物<齐鲁工业大学,副校长>",neutral
中国造纸学会,"机构-人物<山东造纸学会,理事长刘玉教授>",neutral
理事长曹振雷博士,"机构间<山东省造纸行业协会,“双十”标杆企业>",neutral
齐鲁工业大学,"机构-人物<山东省轻工纺织工会,主席卢飞>",neutral
副校长,"机构-人物<齐鲁工业大学轻工学部,秘书长孔凡功教授>",neutral
山东造纸学会,"机构-人物<山东造纸学会,秘书长孔凡功教授>",neutral
理事长刘玉教授,"机构间<齐鲁工业大学轻工学部,齐鲁工业大学生物基材料与绿色造纸国家重点实验室>",neutral
山东省造纸行业协会,"机构间<山东造纸学会,齐鲁工业大学生物基材料与绿色造纸国家重点实验室>",neutral
公司,"机构间<公司,东省造纸行业“十强企业”>",positive
中国航天科技集团有限公司,"机构-人物<新华社,记者胡喆>",positive
新华社,"机构-人物<新华社,宋晨>",positive
中国航天科技集团所属长城公司,"机构间<中国航天科技集团所属长城公司,一院>",positive
一院,"机构间<中国航天科技集团所属长城公司,五院>",positive
亚太中心公交场站,"机构-人物<亚太中心公交场站,施工人员>",positive
施工人员,"机构-人物<南明区治堵办,相关负责人何涛>",positive
“好品山东”企业代表,"机构-人物<亚太森博（山东）浆纸有限公司,“好品山东”企业代表>",neutral
亚太经济合作组织,"国家间<亚太经济合作组织,美国>",positive
亚太区司法管辖区,"机构-人物<亚太区司法管辖区,首席法官>",neutral
首席法官,"机构-人物<亚太区司法管辖区,首席法官代表>",neutral
首席法官代表,"机构间<亚太法协司法分部,香港特区司法机构>",neutral
香港特区终审法院,"机构-人物<香港特区终审法院,首席法官张举能>",positive
亚太法协司法分部,"机构-人物<亚太法协司法分部,法官安德鲁·贝尔>",positive
法官安德鲁·贝尔,"机构-人物<澳大利亚新南威尔士州最高法院,法官安德鲁·贝尔>",positive
澳大利亚新南威尔士州最高法院,"国家-人物<亚太区,司法领导>",positive
与会,"机构-人物<与会,首席法官>",positive
首席法官,"机构-人物<与会,首席法官代表>",positive
首席法官代表,"机构间<与会,各地司法机构>",positive
亚太区首席法官会议,"国家-人物<亚太区,首席法官>",positive
亚太区,"国家-机构<亚太区首席法官会议,亚太区>",positive
百威亚太,"机构-人物<百威亚太,杨克先生>",positive
杨克先生,"机构间<百威亚太,百威投资（中国）有限公司>",positive
百威投资（中国）有限公司,"机构-人物<西藏自治区商务厅,张军>",positive
西藏自治区商务厅,"机构-人物<自治区供销合作社,张军>",positive
自治区供销合作社,"机构-人物<拉萨市政府,副市长潘文卿>",positive
张军,"机构-人物<百威中国,首席销售官周臻>",positive
百威集团,,positive
城关区委常务,"机构-人物<城关区委常务,李峥>",positive
李峥,"机构间<百威集团,优质企业>",positive
日照市“无废城市”建设工作领导小组办公室,"机构-人物<日照市生态环境保护综合执法支队支,队长崔华波>",neutral
日照市生态环境局,"机构-人物<日照市生态环境局,队长崔华波>",neutral
日照市生态环境保护综合执法支队支,"机构-人物<日照经济技术开发区工委,副主任夏永>",neutral
亚太森博(山东)浆纸有限公司,"机构-人物<亚太森博(山东)浆纸有限公司,陈东>",neutral
东亚及西太平洋电力工业协会,"机构间<东亚及西太平洋电力工业协会,中国电力企业联合会>",positive
中国电力企业联合会,"机构间<国内主要电力企业,中国电力企业联合会>",positive
国内主要电力企业,"机构间<东亚及西太平洋电力工业协会,国内主要电力企业>",positive
政府部门,"机构间<政府部门,亚太电协会员单位>",positive
亚太电协会员单位,"机构间<政府部门,国际组织>",positive
国际组织,"机构间<政府部门,驻华使领馆>",positive
驻华使领馆,"机构间<政府部门,国内外能源电力企业>",positive
国内外能源电力企业,"机构间<亚太电协会员单位,国际组织>",positive
南方电网有限责任公司,"机构-人物<南方电网有限责任公司,董事长孟振平>",positive
董事长孟振平,"机构间<南方电网,各位电力同仁>",positive
国家能源局,"机构-人物<国家能源局,副局长余兵>",positive
副局长余兵,"机构间<亚太电协,中国国家能源局>",positive
电力企业,"机构间<电力企业,亚太电协>",positive
亚太电协,"机构间<亚太电协,亚太乃至全球能源电力行业>",positive
中国共产党,"国家-机构<中国,中国共产党>",positive
中国,"国家间<亚太,中国>",positive
西太平洋电力工业协会,"机构间<中国电力企业联合会,国内主要电力企业>",positive
东亚,"机构间<西太平洋电力工业协会,中国电力企业联合会>",positive
中国电力企业联合会,"机构间<西太平洋电力工业协会,国内主要电力企业>",positive
国家能源局,"机构-人物<国家能源局,副局长余兵>",positive
亚太地区,"机构间<中国特色自贸港,亚太地区能源电力领域>",positive
南方电网有限责任公司,"机构-人物<南方电网有限责任公司,董事长孟振平>",positive
国际能源署可再生能源部,"机构-人物<国际能源署可再生能源部,主任保罗·弗兰克尔>",neutral
主任保罗·弗兰克尔,"机构-人物<联合国亚洲及太平洋经济社会委员会,能源司司长刘鸿鹏>",neutral
联合国亚洲及太平洋经济社会委员会,"机构-人物<中国工程院,院士刘吉臻>",neutral
能源司司长刘鸿鹏,"机构-人物<国家能源投资集团有限责任公司,董事长刘国跃>",neutral
亚太电协,"机构-人物<亚太电协,成员单位>",positive
成员单位,"机构间<亚太电协,电力专业国际组织>",positive
国家主席习近平,"国家间<国家主席习近平,亚太经合组织工商领导人峰会>",neutral
习近平,"国家间<亚太地区,亚太命运共同体>",positive
习近平,"国家-人物<	习近平,中国>",positive
中国,"国家间<中国,亚太区域>",positive
亚太区域,"国家间<中国,亚太地区>",positive
中国,"国家间<中国,亚太>",positive
中国,"国家间<中国,亚太>",positive
亚太,"国家间<中国,全球>",positive
中国,"国家间<中国,全球>",positive
亚太,"国家间<中国,亚太>",positive
亚太地区,"国家间<亚太地区,亚太命运共同体>",positive
北京陈江和公益基金会,"机构间<北京陈江和公益基金会,亚太森博（山东）浆纸有限公司>",positive
亚太森博（山东）浆纸有限公司,"机构间<北京陈江和公益基金会,慧育希望儿童早期发展活动中心>",positive
慧育希望儿童早期发展活动中心,"机构间<亚太森博（山东）浆纸有限公司,慧育希望儿童早期发展活动中心>",positive
慧育希望儿童早期发展活动中心,"机构间<北京陈江和公益基金会,慧育希望儿童早期发展活动中心>",positive
亚太森博慷,"机构-人物<亚太森博慷,主要投资人>",positive
主要投资人,"机构间<亚太森博慷,日照市图书馆>",positive
亚太森博,"机构间<亚太森博,日照市艺善美画院>",positive
日照市艺善美画院,"机构-人物<日照市艺善美画院,画师们>",positive
亚太森博企业,"机构-人物<亚太森博企业,尹亮>",neutral
亚太森博,"机构间<联合工会,社区>",neutral
亚太森博,"机构间<亚太森博,小型污水处理站>",positive
重庆轻纺集团,"机构间<重庆轻纺集团,萨固密亚太技术研发中心>",positive
萨固密亚太技术研发中心,"机构间<全球专业汽车生产厂商,萨固密亚太技术研发中心>",positive
亚太地区,"机构间<亚太地区,萨固密亚太技术研发中心>",positive
德国萨固密集团,"机构间<德国萨固密集团,中国技术中心>",positive
中国技术中心,"机构间<德国萨固密集团,亚太技术研发中心>",positive
萨固密（中国）投资有限公司,"机构-人物<萨固密（中国）投资有限公司,总经理陈勇>",positive
总经理陈勇,"机构间<萨固密（中国）投资有限公司,亚太技术研发中心>",positive
萨固密集团,"机构间<萨固密集团,重庆轻纺集团>",positive
重庆轻纺集团,"机构间<萨固密集团,萨固密（中国）投资有限公司>",positive
萨固密集团,"机构间<萨固密集团,萨固密中国技术中心>",positive
萨固密（中国）投资有限公司,"机构间<萨固密集团,密封条生产制造工厂>",positive
萨固密集团,"机构间<萨固密集团,重庆轻纺集团>",positive
萨固密中国,"机构间<萨固密中国,萨固密集团中国区外工厂>",positive
萨固密集团,"机构间<萨固密集团,全球超级工厂>",positive
全球超级工厂,"机构间<萨固密集团,生产基地>",positive
重庆轻纺集团,"机构-人物<重庆轻纺集团,董事长谢英明>",positive
董事长谢英明,"机构间<萨固密亚太技术研发中心,引领中国汽车密封系统产业发展的国家级创新平台>",positive
萨固密亚太技术研发中心,"机构间<萨固密亚太技术研发中心,支撑萨固密全球持续稳健发展的国际化技术中心>",positive
中,"国家间<中,亚太国家>",positive
美,"国家间<美,亚太国家>",positive
亚太国家,"国家间<任何国家,亚太>",positive
美国,"国家-人物<美国,领导人>",neutral
领导人,"国家间<美国,亚洲国家>",neutral
亚洲国家,"国家间<美国,地区>",neutral
亚太地区,"国家间<亚太地区,地区国家>",neutral
地区国家,"国家间<美国,亚太地区>",neutral
美国,"国家间<中国,美国>",neutral
亚太地区,"国家间<美国,盟友和合作伙伴>",neutral
地区国家,"国家间<地区国家,中国>",neutral
地区国家,"国家间<亚太国家,美国>",neutral
地区国家,"机构-人物<卡内基国际和平基金会,副会长方艾文>",neutral
美国,"国家间<美国,华>",neutral
美国,"国家间<美国,中国>",neutral
美国,"国家间<美国,地区国家>",neutral
中国,"国家间<美国,中国>",neutral
美国,"国家间<美国,亚太地区>",neutral
地区国家,"国家间<中国,任何国家>",neutral
亚太各国人民,"国家-人物<亚太各国人民,亚太地区>",neutral
亚太地区,"国家间<个别国家,亚太>",neutral
亚太国家,"国家间<亚太,中国>",neutral
个别国家,"国家间<中国,地区国家>",neutral
亚太,"国家间<中,亚太国家>",positive
中,"国家间<美,亚太国家>",positive
美,"国家间<任何国家,亚太>",positive
亚太国家,"国家间<美国,本地区>",positive
习近平主席,"机构间<APEC,政府>",positive
工业和信息化部,"机构间<工业和信息化部,本届工商论坛>",neutral
广东省、深圳市等政府部门代表,"机构间<地方专精特新企业代表,本届工商论坛>",neutral
全国各省市中小企业服务机构代表,"机构间<广东省、深圳市等政府部门代表,本届工商论坛>",neutral
国家级专精特新“小巨人”,"机构间<全国各省市中小企业服务机构代表,本届工商论坛>",neutral
地方专精特新企业代表,"机构间<国家级专精特新“小巨人”,本届工商论坛>",neutral
本届工商论坛,"机构间<本届工商论坛,政府部门>",positive
本届工商论坛,"机构间<本届工商论坛,行业机构和商会>",positive
智利,"机构间<本届工商论坛,研究机构>",positive
印度尼西亚,"机构间<本届工商论坛,中小企业家>",positive
日本,"国家-机构<智利,政府部门>",positive
墨西哥,"国家-机构<印度尼西亚,政府部门>",positive
菲律宾,"国家-机构<日本,政府部门>",positive
俄罗斯,"国家-机构<墨西哥,政府部门>",positive
新加坡,"国家-机构<菲律宾,政府部门>",positive
泰国,"国家-机构<俄罗斯,政府部门>",positive
政府部门,"国家-机构<新加坡,政府部门>",positive
行业机构和商会,"国家-机构<泰国,政府部门>",positive
研究机构,"国家-机构<智利,行业机构和商会>",positive
中小企业家,"国家-机构<印度尼西亚,行业机构和商会>",positive
亚太地区中小企业,"国家-机构<日本,行业机构和商会>",positive
APEC中小企业工商论坛,"机构间<APEC中小企业工商论坛,深圳中小企业>",positive
深圳中小企业,"机构间<工商论坛,数字赋能中小企业专精特新发展论坛>",positive
工商论坛,"机构间<工商论坛,助力专精特新中小企业“走出去”论坛>",positive
数字赋能中小企业专精特新发展论坛,"机构间<工商论坛,未来汽车产业新生态高峰论坛>",positive
助力专精特新中小企业“走出去”论坛,"机构间<工商论坛,产教融合促进专精特新发展高校校长论坛>",positive
未来汽车产业新生态高峰论坛,"机构间<工商论坛,培育专精特新企业，推动先进制造业高地建设论坛>",positive
产教融合促进专精特新发展高校校长论坛,"机构间<工商论坛,2022中国·深圳好创业高峰论坛>",positive
培育专精特新企业，推动先进制造业高地建设论坛,"机构间<工商论坛,低碳与绿色发展赋能专精特新企业论坛>",positive
2022中国·深圳好创业高峰论坛,"机构间<工商论坛,专精特新 成就未来——深圳市专精特新“小巨人”企业融通创新路演暨创新产品展示对接会>",positive
亚太经合组织第二十八次领导人非正式会议,"机构-人物<亚太经合组织第二十八次领导人非正式会议,习近平主席>",positive
工商领导人峰会,"机构-人物<工商领导人峰会,习近平主席>",positive
习近平主席,"国家间<中国,亚太地区>",positive
中国,"国家间<中国,世界团结>",positive
亚太,"国家间<亚太地区,亚太命运共同体>",positive
亚太地区,"国家间<亚太地区,世界多个主要经济体>",positive
亚太,"国家-机构<亚太,地区产业链供应链>",positive
中国,"国家间<中国,亚太经合组织>",positive
亚太区域,"国家间<中国,亚太区域>",positive
中国,"国家-人物<中国,习近平主席>",positive
亚太经合组织,"国家间<中国,亚太>",positive
上海市软科学基地“上海市知识竞争力与区域发展研究中心”,"机构间<上海市软科学基地“上海市知识竞争力与区域发展研究中心”,国际竞争力中心亚太分中心>",positive
